Latitide,39.47276
Longitude,-105.0622
Elevation,1801
Time,Temperature_2m [°C],Relativehumidity_2m [%],Precipitation [mm],Windspeed_10m [m/s],Winddirection_10m [°],Cloudcover [%],Direct_radiation [W/m²],Boundary_layer_height [m],FFMC hourly [-],FFMC [-],DMC [-],DC [-],ISI [-],BUI [-],FWI [-]
2023-01-04T07:00,-10.7,74,0,4.6,214,1,0,40,31.0022417540548,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-04T08:00,-10,70,0,4.37,200,3,0,45,31.16178761075,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-04T09:00,-9.1,65,0,3.57,198,51,0,40,31.3785795365461,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-04T10:00,-9.5,67,0,3.44,188,80,0,30,31.5704751082981,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-04T11:00,-9.5,67,0,3.24,189,89,0,30,31.7620123578658,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-04T12:00,-5.9,57,0,3.39,225,95,0,30,32.1141099428508,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-04T13:00,-5.7,56,0,3.61,222,45,0,30,32.4827392976662,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-04T14:00,-5.7,54,0,3.26,220,7,0,30,32.8807611328764,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-04T15:00,-7.2,55,0,1.73,190,2,9,30,33.2403262111237,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-04T16:00,-6.2,59,0,1.73,190,0,111,40,33.5553357130858,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-04T17:00,-2.9,50,0,1.61,173,3,255,50,34.0654335955999,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-04T18:00,-1,46,0,1.4,184,5,363,85,34.6940192454287,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-04T19:00,-0.3,58,0,1.17,239,2,404,365,35.1008264963256,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-04T20:00,1.6,33,0,0.9,270,1,425,1400,36.1314441015071,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-04T21:00,0.1,49,0,1.3,274,1,375,1190,36.7100286652002,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-04T22:00,2.6,22,0,1.1,270,1,275,370,38.1498380695176,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-04T23:00,-3.8,50,0,1.17,160,0,135,60,38.6189938490595,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-05T00:00,-4.3,58,0,1.36,197,1,20,45,38.9520702209011,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-05T01:00,-6.1,56,0,2.42,210,0,0,30,39.2886489922344,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-05T02:00,-7.3,62,0,3.4,208,2,0,30,39.5338534041112,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-05T03:00,-8.3,67,0,3.28,218,4,0,30,39.716112633006,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-05T04:00,-9.2,69,0,3.26,223,82,0,35,39.8729492613077,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-05T05:00,-11.2,76,0,3.25,225,24,0,40,39.9643488482762,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-05T06:00,-13.1,82,0,3.83,221,0,0,45,40.0149029458336,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-05T07:00,-13.5,80,0,3.91,220,0,0,45,40.0749746443538,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-05T08:00,-12,71,0,3.7,218,100,0,45,40.1989771327819,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-05T09:00,-10.1,65,0,3.08,216,95,0,50,40.3859915779909,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-05T10:00,-9,62,0,2.78,218,83,0,35,40.611863037966,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-05T11:00,-8.6,59,0,2.9,224,62,0,40,40.8743323034166,79.8051319993779,6,15,1.32217942217111,6,0
2023-01-05T12:00,-6.4,54,0,3.96,227,94,0,40,41.2260339774442,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-05T13:00,-6.5,55,0,3.68,227,100,0,45,41.5607893743688,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-05T14:00,-6.4,58,0,3.61,226,100,0,45,41.8555375909336,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-05T15:00,-6.8,62,0,3.82,223,100,0,45,42.0963042203116,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-05T16:00,-5.1,61,0,3.48,219,100,1,50,42.3650742857418,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-05T17:00,-1.8,59,0,2.86,216,100,48,60,42.698672321005,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-05T18:00,0.7,53,0,2.55,206,100,63,85,43.168739668854,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-05T19:00,1.8,54,0,2.47,201,99,21,105,43.6371211628067,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-05T20:00,3.6,50,0,2.42,210,100,114,125,44.2193820350623,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-05T21:00,3.9,57,0,1.22,215,91,141,135,44.6613144861436,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-05T22:00,5,44,0,1.57,243,89,160,105,45.4099604887352,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-05T23:00,0.2,64,0,1.58,288,94,81,50,45.6806908967502,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-06T00:00,-1.1,74,0,1.79,243,69,9,30,45.822402807627,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-06T01:00,-2.2,73,0,2.62,227,17,0,30,45.9672572307372,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-06T02:00,-4.7,83,0,3.05,229,29,0,30,46.0237140714372,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-06T03:00,-5.3,81,0,4.17,224,51,0,30,46.0910917554963,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-06T04:00,-5.4,76,0,4.14,233,35,0,35,46.1935174296443,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-06T05:00,-5.9,75,0,4.53,229,65,0,35,46.3014163968972,80.7903767707849,6,15,1.51174289740466,6,0
