u,v,W,f_demand,f_topo,f_redundancy,edge_type,travel_time,length,num_lanes,speed
10197150901,10197150911,0.10242914979757085,0.0,0.008097165991902834,0.5,highway.residential,23.562994960403167,451.87,4,13.89
10197150911,cluster_10197150912_10197150913,0.10350908344336503,0.0006416486681065514,0.01062753036437247,0.5,highway.residential,3.24622030237581,45.09,2,13.89
9497798266,cluster_9300932039_9873795558,0.1,0.0,0.0,0.5,highway.residential,9.333333333333332,129.64,2,13.89
cluster_9300932039_9873795558,9497798276,0.1068176068181752,0.005133189344852411,0.01417004048582996,0.5,highway.residential,9.241180705543558,128.36,2,13.89
cluster_9300932039_9873795558,9873795549,0.10789754046396936,0.005774838012958962,0.016700404858299597,0.5,highway.residential,8.791936645068395,122.12,1,13.89
9497798272,9497798276,0.10107993364579418,0.0006416486681065514,0.0025303643724696357,0.5,highway.residential,8.955363570914326,124.39,2,13.89
9497798272,9497798316,0.1,0.0,0.0,0.5,highway.residential,8.965442764578833,124.53,2,13.89
9497798276,9497798319,0.10465773952658687,0.003849892008639308,0.009109311740890687,0.5,highway.residential,3.8416126709863208,53.36,2,13.89
10289407132,9497798316,0.1026325134879898,0.001924946004319654,0.005566801619433198,0.5,highway.residential,5.2757379409647225,73.28,2,13.89
10289407132,10289402298,0.10215986729158834,0.0012832973362131028,0.005060728744939271,0.5,highway.residential,5.010799136069114,69.6,2,13.89
10289407132,10289407133,0.1,0.0,0.0,0.5,highway.residential,14.069114470842331,196.25,2,13.89
9497798316,9497798319,0.10310515968439124,0.0025665946724262056,0.006072874493927126,0.5,highway.residential,12.351331893448524,171.56,2,13.89
10289402298,9497798303,0.1,0.0,0.0,0.5,highway.residential,29.450683945284375,409.07,2,13.89
10289402298,10289402300,0.10168722109518688,0.0006416486681065514,0.004554655870445344,0.5,highway.residential,5.035277177825773,69.94,2,13.89
9497798303,cluster_10153775702_9497798305,0.10580359198794462,0.0012832973362131028,0.01720647773279352,0.5,highway.residential,5.797696184305256,81.09,2,13.89
9497798303,10289407111,0.10472365834215044,0.0006416486681065514,0.014676113360323886,0.5,highway.residential,3.934485241180705,55.48,2,13.89
cluster_10153775702_9497798305,10167617754,0.10060728744939272,0.0,0.0020242914979757085,0.5,highway.residential,5.4377249820014395,75.53,2,13.89
cluster_10153775702_9497798305,cluster_11448987091_9300932034,0.14180255397381974,0.001924946004319654,0.1361336032388664,0.5,highway.residential,32.46292296616271,465.81,2,13.89
cluster_10153775702_9497798305,cluster_10153775647_10153775701,0.14463562753036438,0.0,0.14878542510121456,0.5,highway.residential,65.32253419726422,907.33,2,13.89
10167617754,10167617737,0.10107993364579418,0.0006416486681065514,0.0025303643724696357,0.5,highway.residential,22.62850971922246,314.31,4,13.89
9497798310,9497798306,0.10388144960548906,0.003208243340532757,0.0075910931174089065,0.5,highway.residential,17.29733621310295,240.26,2,13.89
9497798310,10289407134,0.10030364372469636,0.0,0.0010121457489878543,0.5,highway.residential,4.457883369330453,62.44,2,13.89
9497798310,11251655448,0.10371244713378396,0.0025665946724262056,0.008097165991902834,0.5,highway.residential,2.601151907847372,36.86,2,13.89
